City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,Sabang,5.8927,95.3226,27.41,73,100,2.72,ID,2024-11-06
313,San Patricio,27.9695,-97.7732,28.99,54,1,3.46,US,2024-11-06
314,Montblanc,43.3959,3.3673,14.86,94,40,1.03,FR,2024-11-06
315,Conceição da Barra,-18.5841,-39.7372,24.0,79,7,3.51,BR,2024-11-06
316,São Gabriel da Cachoeira,-0.125,-67.0814,31.46,59,88,1.12,BR,2024-11-06
317,Lihue,21.977,-159.3688,27.85,77,20,8.75,US,2024-11-06
318,Alenquer,39.0566,-9.0076,20.31,77,11,1.29,PT,2024-11-06
319,Cannonvale,-20.2822,148.6895,24.9,69,19,2.12,AU,2024-11-06
320,Pokhara,28.2095,83.9914,16.72,62,0,1.82,NP,2024-11-06
321,Waoundé,15.2641,-12.8677,31.21,15,0,2.75,SN,2024-11-06
322,Orcopampa,-15.954,-72.4859,25.25,34,100,4.17,PE,2024-11-06
323,Ancud,-41.8682,-73.8287,11.83,55,34,2.58,CL,2024-11-06
324,Ongjin-gun,37.533,126.429,3.99,65,0,2.57,KR,2024-11-06
325,Yenotayevka,47.2444,47.0355,1.54,82,100,3.79,RU,2024-11-06
326,Broome,-17.9567,122.224,29.94,79,40,2.06,AU,2024-11-06
327,Shemysheyka,52.8943,45.3928,-5.35,94,60,2.79,RU,2024-11-06
328,As Sulayyil,20.4597,45.5744,23.68,22,0,3.16,SA,2024-11-06
